Title;Author(s);Year;Publication Title;Type of Publication;Source;DOI;Abstract
"""Gea2"": A Serious Game for Technology-Enhanced Learning in STEM";"Ferro, Lauren S.; Sapio, Francesco; Terracina, Annalisa; Temperini, Marco; Mecella, Massimo";2021;IEEE Transactions on Learning Technologies;Article;Eric;https://doi.org/10.1109/TLT.2022.3143519;Education and training are among the fields taking advantage of serious games (SGs). In this article, we present Gea 2: A New Earth, a digital SG developed as an immersive 3-D virtual learning environment, integrating several educational resources, including multimedia learning material, communication tools, and intelligent tutoring support. The game aims to complement traditional classroom activities in science, technology, engineering, and mathematics (STEM), for high school students and teachers. It incorporates an intelligent pedagogical agent that can converse in natural language with the student and provides unsolicited hints during gameplay. This article presents the game and its evaluation based on experiments involving about 100 participants. We think that the results presented here add to the research on game-based learning for STEM, by proposing a complex game system, where artificial intelligence techniques are integrated to support students' learning, and by confirming that the game experience can be attractive for the learners, also in very constrained classroom environments, such as those we operated in.
Examining Key Capitals Contributing to Students' Science-Related Career Expectations and Their Relationship Patterns: A Machine Learning Approach;"Tan, Lihua; Chen, Fu; Wei, Bing";2024;Journal of Research in Science Teaching;Article;Eric;https://doi.org/10.1002/tea.21939;"Through the lens of science capital, this research aims to detect the key factors and their main effects in identifying students with science-related career expectations. A machine learning approach (i.e., random forest) was employed to analyze a dataset of 519,334 15-year-old students from the Programme for International Student Assessment (PISA) 2015. The global analysis identified 25 key factors out of 88 contextual features: (1) for ""how you think,"" making students feel science is relevant, enjoyable, and interesting is relatively more crucial than being ambitious and confident; (2) for ""what science you know,"" students' science and math literacy, epistemological beliefs, and awareness of environmental matters were the key factors; (3) for ""who you know,"" parents valuing science, expecting their children to enter science, and providing emotional support were as similar as or even more important than their economic, social, and cultural status (ESCS)-related constructs, while teachers fairness ranked the top among all teaching-related features; and (4) for ""what you do,"" appropriate science learning time, engagement in science activities, and ICT use for schoolwork were key factors. These findings indicate a relatively optimistic situation, as the most key capitals were malleable for educators. Accumulated local effect plots further discriminated how these key capitals related to students' career expectations in four distinct ways: ""increasing,"" ""S-shaped,"" ""inverted-U-shaped,"" and ""decreasing,"" shedding light on how we could optimize key resources to enhance aspirations. The comparison between global and Hong Kong analyses suggests the key factors identified by the global model were generally effective but not necessarily essential for a specific region. The cross-cultural generalizability or prevalence of capitals might vary by their forms."
What Makes Tablet-Based Learning Effective? A Study of the Role of Real-Time Adaptive Feedback;"Colliot, Tiphaine; Krichen, Omar; Girard, Nathalie; Anquetil, Éric; Jamet, Éric";2024;British Journal of Educational Technology;Article;Eric;https://doi.org/10.1111/bjet.13439;This study investigated the added value of real-time adaptive feedback on seventh graders' performances in tablet-based geometry learning. To isolate the effects of the medium (ie, tablet) from those of the feedback, three groups were compared: paper-and-pencil, pen-based tablet without feedback and pen-based tablet with feedback. The feedback was provided by a tutoring system based on an artificial intelligence that automatically interpreted students' pen strokes on the screen. A total of 85 French students drew three geometric shapes, either on paper or on a tablet, and then performed a transfer task on paper. Results showed that using a tablet without feedback did not improve learning but seemed to enhance interest in the task compared to the paper-and-pencil group. Students in the tablet with feedback group performed significantly better than the other two groups on learning, as well as on transfer. This study was the first to combine media comparison and added-value approaches to test the effects on students' geometry performances of using a new educational app on a pen-based tablet in a naturalistic classroom environment. Results showed that it was not the medium used but the intelligent tutoring system-based feedback that improved students' performance. Our data therefore indicate that artificial intelligence is a promising way of providing learners with real-time adaptive feedback in order to improve their performances.
Revolutionizing Pre-Calculus Education: Photomath's AI-Powered Mathematics Tutorship;Capinding, Andie Tangonan;2023;Problems of Education in the 21st Century;Article;Eric;;"Mathematics plays a vital role in education; however, Filipino students encounter difficulties, evident in their performance on both national and international assessments. However, current literature suggests that leveraging technology, such as calculators and AI, in mathematics education can enhance students' proficiency, particularly in the pre-calculus domain. Thus, this research study examined the effectiveness of Photomath in enhancing Filipino students' self-reliance, interest, and performance in pre-calculus. A quasi-experimental one-group pretest-posttest design was used, with 49 Grade 11 students from NEUST Laboratory High School participating. Descriptive and inferential statistical analyses were performed to examine the pre-and post-intervention data. Results revealed a significant increase in students' self-reliance, interest, and performance in pre-calculus following the use of Photomath. The mean scores on all three measures increased significantly from the pretest to the posttest. The results of the t-tests further confirmed the effectiveness of Photomath in enhancing students' self-reliance, interest, and performance in pre-calculus. These results suggest that Photomath can be a valuable tool for educators to incorporate into pre-calculus teaching to enhance students' confidence and interest, foster intrinsic motivation, and ultimately improve their performance."
Three Algorithms for Grouping Students: A Bridge between Personalized Tutoring System Data and Classroom Pedagogy;"Lechuga, Christopher G.; Doroudi, Shayan";2023;International Journal of Artificial Intelligence in Education;Article;Eric;https://doi.org/10.1007/s40593-022-00309-y;Computer-assisted instructional programs such as intelligent tutoring systems are often used to support blended learning practices in K-12 education, as they aim to meet individual student needs with personalized instruction. While these systems have been shown to be effective under certain conditions, they can be difficult to integrate into pedagogical practices. In this paper, we introduce three group formation algorithms that leverage learning data from the adaptive intelligent tutoring system ALEKS to support pedagogical and collaborative learning practices with ALEKS. Each grouping method was devised for different use cases, but they all utilize a fine-grained multidimensional view of student ability measured across several hundred skills in an academic course. As such, the grouping algorithms not only identify groups of students, but they also determine what areas of ALEKS content each group should focus on. We then evaluate each of the three methods against two alternative baseline methods, which were chosen for their plausibility of being used in practice--one that groups students randomly and one that groups students based on a unidimensional course score. To evaluate these methods, we establish a set of practical metrics based on what we anticipate teachers would care about in practice. Evaluations were performed by simulating mock groupings of students at different time periods for real ALEKS algebra classes that occurred between 2017 and 2019. We show that each devised method obtains more favorable results on the specified metrics than the alternative methods under each use-case. Moreover, we highlight examples where our methods lead to more nuanced groupings than grouping based on a unidimensional measure of ability.
Indonesian Students' Perceptions towards AI-Based Learning in Mathematics;"Soesanto, Robert Harry; Dirgantoro, Kurnia Putri Sepdikasari; Priyantim, Neng";2022;Journal on Mathematics Education;Article;Eric;https://doi.org/10.22342/jme.v13i3.pp531-548;The pandemic has indeed provided students and teachers worldwide with the experience of technology-infused teaching. Even though the pandemic is almost over, the utilization of technology in mathematics education is still needed and inseparable. Relying on cross-sectional design and phenomenological approach, this research investigates senior high school students' perceptions towards AI-based learning, particularly about their understanding and suggestions towards AI-based learning in mathematics in the context of post-pandemic. The participants of the study were 107 students coming from several islands in Indonesia, ranging from grade 10-12, with an age interval of 15-18 years old. The instruments used were the questionaries with open-ended questions in Microsoft forms distributed to mathematics teachers in several WhatsApp groups. The data were then analyzed through a multistage descriptive and pattern coding process. The findings showed that students need to be facilitated with AI, which can display understandable visualization and provide guidance to solve mathematical problems. It is expected that the present study's findings offer researchers in Indonesia and abroad to disseminate and/or implement AI learning in the form of Intelligent Tutoring Systems.
Combining Machine Translation and Automated Scoring in International Large-Scale Assessments;"Jung, Ji Yoon; Tyack, Lillian; Davier, Matthias von";2024;Large-scale Assessments in Education;Article;Eric;https://doi.org/10.1186/s40536-024-00199-7;Background: Artificial intelligence (AI) is rapidly changing communication and technology-driven content creation and is also being used more frequently in education. Despite these advancements, AI-powered automated scoring in international large-scale assessments (ILSAs) remains largely unexplored due to the scoring challenges associated with processing large amounts of multilingual responses. However, due to their low-stakes nature, ILSAs are an ideal ground for innovations and exploring new methodologies. Methods: This study proposes combining state-of-the-art machine translations (i.e., Google Translate & ChatGPT) and artificial neural networks (ANNs) to mitigate two key concerns of human scoring: inconsistency and high expense. We applied AI-based automated scoring to multilingual student responses from eight countries and six different languages, using six constructed response items from TIMSS 2019. Results: Automated scoring displayed comparable performance to human scoring, especially when the ANNs were trained and tested on ChatGPT-translated responses. Furthermore, psychometric characteristics derived from machine scores generally exhibited similarity to those obtained from human scores. These results can be considered as supportive evidence for the validity of automated scoring for survey assessments. Conclusions: This study highlights that automated scoring integrated with the recent machine translation holds great promise for consistent and resource-efficient scoring in ILSAs.
Meta-Affective Behaviour within an Intelligent Tutoring System for Mathematics;"Rebolledo-Mendez, Genaro; Huerta-Pacheco, N. Sofia; Baker, Ryan S.; du Boulay, Benedict";2022;International Journal of Artificial Intelligence in Education;Article;Eric;https://doi.org/10.1007/s40593-021-00247-1;Many previous studies have highlighted the influence of learners' affective states on learning with tutoring systems. However, the associations between learning and learners' meta-affective capability are still unclear. The goal of this paper is to analyse meta-affective capability and its influence on learning outcomes as well as the dynamics of affect over time. Two criteria, awareness and self-regulation, were employed to define meta-affective capability. An exploratory study (n = 54) was conducted in which students at the secondary level were asked to interact with an intelligent tutoring system for mathematics and to self-Report their affect during their interactions with the system. Pre-post learning outcomes were also measured. A post-hoc comparison of learning gains was made between more meta-affectively capable and less meta-affectively capable students. The results provide some empirical evidence to support the hypoThesis that having meta-affective capability is positively associated with learning. Students not demonstrating meta-affective capability seemed to transition frequently from boredom to frustration (p = 0.0284) and from concentration to neutral (p = 0.0017). However, only a small percentage of the sample were classified as having meta-affective capability, indicating that it is important to scaffold students who are not meta-affectively capable.
The Development of Individualized Assignment Generator;"R. R. Zaripova; A. V. Danilov; L. L. Salekhova; T. R. Fazliakhmetov";2024;2024 17th International Conference on Development in eSystem Engineering (DeSE);Conference;IEEE;10.1109/DeSE63988.2024.10911947;The article discusses the development of a system that uses artificial intelligence (AI) to generate individualized mathematics assignments for bilingual students in Tatarstan, Russia. The goal is to enhance learning by tailoring assignments to students’ linguistic preferences, cognitive styles, and knowledge levels. The system employs machine learning techniques and GPT-based models to create personalized tasks that align with curriculum goals while addressing linguistic diversity, particularly for Tatar-Russian bilinguals. The study evaluates several large language models (LLMs), including GPT-4, GPT-3.5 Turbo, YandexGPT, and GigaChat, based on their ability to generate math problems and content in the Tatar language. While GPT-4 and GPT-3.5 Turbo show superior performance in producing accurate and semantically correct problems, their proficiency in Tatar remains inconsistent. The research underscores the need for further development of LLMs to enhance content generation for bilingual educational contexts and highlights the potential of AI in advancing adaptive learning for mathematics education. Future directions include expanding the system’s functionality and testing its effectiveness across diverse educational settings.
Primary and High School Question Classification based on Bloom's Taxonomy;"Hasmawati; A. Romadhony; R. Abdurohman";2022;2022 10th International Conference on Information and Communication Technology (ICoICT);Conference;IEEE;10.1109/ICoICT55009.2022.9914842;One of the student's abilities that must be measured in the learning process is cognitive ability. This measurement is essential to establish the level of students' understanding of the material that has been taught. Giving questions with the appropriate difficulty level is an attempt to measure these cognitive abilities. According to Bloom's taxonomy, there are six levels of cognitive abilities, remembering, understanding, applying, analyzing, evaluating, and creating. An automatic question classifier is helpful for teachers to develop a high-quality question and comply with different cognitive levels. This paper proposed automation question classification using the classical classification method (Support Vector Machine and Multinomial Naïve Bayes) and the pre-trained language model, IndoBERT. We conducted an experiment based on 670 mathematics and Indonesian language questions in primary and high school. The evaluation results show that the best classification accuracy was achieved by the IndoBERT method, which is 82% for classifying mathematics questions and 63% for classifying Indonesian Language questions. We analyzed that the small number of datasets and unbalanced at each taxonomy level affected the classification results.
Diagnosing Mathematical Procedures in Number and Algebra Strand of 7th Students using the Machine Learning Platform for Khon Kaen University demonstration secondary school (Suksasart);"M. Prasertsang; M. Marwiang; P. Junpeng";2024;2024 International Technical Conference on Circuits/Systems, Computers, and Communications (ITC-CSCC);Conference;IEEE;10.1109/ITC-CSCC62988.2024.10628212;Diagnosing students' mathematical proficiency is a challenging task for teachers, as using technology such as machine learning together with mathematical procedures is an interesting approach to diagnose the mathematical proficiency of Grade 7 students. The objective of this research was to diagnose the levels of mathematical proficiency in the dimensions of mathematical procedures, number, and algebra strand for Grade 7 students, using a design research methodology. The findings indicate that most students, 79%, have a good foundation of knowledge, concepts, and basic skills, ready to learn supplementary smart lessons. However, they still have misconceptions and gaps in interpreting language and symbols, and lack understanding of fundamental math concepts, which makes it difficult for them to solve basic or multi-step word problems.
Learning with Explainable AI-Recommendations at School: Extracting Patterns of Self-Directed Learning from Learning Logs;"R. Majumdar; K. Takami; H. Ogata";2023;2023 IEEE International Conference on Advanced Learning Technologies (ICALT);Conference;IEEE;10.1109/ICALT58122.2023.00078;Educational explainable AI (XAI) applications are gaining research focus and have distinct needs in the domain of Education. This research presents Educational eXplainable AI Tool (EXAIT), a system for math quiz recommendations, along with an explanation. EXAIT was implemented in a Japanese public high school where students received the top 5 math problems based on Bayesian Knowledge Tracing (BKT) algorithm in a learning analytics dashboard. It aimed to help them complete their summer vacation assignments having 240 questions. On click, the students were redirected to an eBook platform to submit their accuracy and confidence level in each problem. We conducted a study with a quasi-experimental design and divided into 3 groups based on compliance of use. RecoExp group received and used explanations regarding why an item was recommended and how it aims to maximize learners' knowledge-gaining path. RecoCon was the control group that received just the recommendations and used it and RecoNone group did not use the system at all during the time period. We provide a framework to analyze learning logs from EXAIT and extract emerging self-directed learning patterns. Analyzing 222 students' EXAIT logs, we found learners who had checked explanations while selecting recommendations had significantly higher performance. Further differential process mining highlighted significant active daily engagement transitions of the RecoExp group in the self-directed activity.
Academic Achievement in Mathematics of Higher-Middle Education Students in Veracruz: An Approach Based on Computational Intelligence;"Y. Céspedes-González; A. D. Otero Escobar; J. D. Ricárdez Jiménez; G. Molero-Castillo";2023;2023 11th International Conference in Software Engineering Research and Innovation (CONISOFT);Conference;IEEE;10.1109/CONISOFT58849.2023.00031;"Given the role that education plays in society; it is important to have a quality education system. In this sense, the academic achievement of students is an indicator that allows measuring the quality of education offered by educational systems. One way to measure academic achievement is through the results of standardized tests, as is the case of PLANEA in Mexico. This research paper presents the analysis of academic achievement in mathematics of high-middle education students in Veracruz, through an approach based on computational intelligence. For this, an unsupervised learning approach based on K-means was used, an algorithm that models a set of input variables and assigns elements (data vectors) with similar characteristics to certain clusters. The solution method was divided into four stages: data acquisition, exploratory data analysis, variable selection, and algorithm application. As a result, a differentiated segmentation was observed for the evaluation period. From this segmentation, some characteristics stand out in each group were identified, such as: the shift, degree of marginalization, support, programmed students and evaluated students."
Towards Explainable Group Formation by Knowledge Map based Genetic Algorithm;"B. Flanagan; C. Liang; R. Majumdar; H. Ogata";2021;2021 International Conference on Advanced Learning Technologies (ICALT);Conference;IEEE;10.1109/ICALT52272.2021.00119;In recent years, machine learning of increasing complexity is being applied to problems in education. However, there is an increasing call for transparency and understanding into how the results of complex models are derived, leading to explainable AI gaining attention. The application of machine learning to automated group formation for collaborative work from learning system logs and other data has been progressing. Building on previous research in this field, we propose a group formation method that is based on a combination of course knowledge structures, reading behavior, and assessment analysis to create optimal heterogenous and homogeneous working groups using a genetic algorithm. The characteristics of each group are presented for explanation as a visualized knowledge map showing the strengths and weaknesses of each group, and are in the structure form of curriculum. We also present a case study of applying the method to junior high school mathematics log data, and provide explanation in a visualized form of standardized curriculum of group characteristics that are often referenced for learning design by teachers.
Combining Large Language Models with Tutoring System Intelligence: A Case Study in Caregiver Homework Support;"Venugopalan D.; Yan Z.; Borchers C.; Lin J.; Aleven V.";2025;15th  International Conference on Learning Analytics and Knowledge, LAK 2025;Conference;Scopus;10.1145/3706468.3706516;Caregivers (i.e., parents and members of a child's caring community) are underappreciated stakeholders in learning analytics. Although caregiver involvement can enhance student academic outcomes, many obstacles hinder involvement, most notably knowledge gaps with respect to modern school curricula. An emerging topic of interest in learning analytics is hybrid tutoring, which includes instructional and motivational support. Caregivers assert similar roles in homework, yet it is unknown how learning analytics can support them. Our past work with caregivers suggested that conversational support is a promising method of providing caregivers with the guidance needed to effectively support student learning. We developed a system that provides instructional support to caregivers through conversational recommendations generated by a Large Language Model (LLM). Addressing known instructional limitations of LLMs, we use instructional intelligence from tutoring systems while conducting prompt engineering experiments with the open-source Llama 3 LLM. This LLM generated message recommendations for caregivers supporting their child's math practice via chat. Few-shot prompting and combining real-time problem-solving context from tutoring systems with examples of tutoring practices yielded desirable message recommendations. These recommendations were evaluated with ten middle school caregivers, who valued recommendations facilitating content-level support and student metacognition through self-explanation. We contribute insights into how tutoring systems can best be merged with LLMs to support hybrid tutoring settings through conversational assistance, facilitating effective caregiver involvement in tutoring systems. © 2025 Copyright held by the owner/author(s).
Video Analysis Engine for Predicting Effectiveness;"Thareja R.; Dwivedi D.; Garg R.; Baghel S.; Shukla J.; Mohania M.";2025;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics) ;Conference;Scopus;10.1007/978-3-031-78312-8_7;"In the realm of digital education, the growing use of short-form online videos, coupled with innovative generative AI methods, has dramatically expanded the production of didactic academic videos. This shift, however, underscores a critical question - how to ascertain the ""effectiveness"" of these videos for student learning? It is essential to devise a classification mechanism that filters videos for clarity, comprehensibility, and their capacity to meet student learning objectives. The automated evaluation of these learning videos holds substantial implications for student academic performance. Accordingly, this paper presents a novel supervised-learning-based approach, predicated on video feature analysis, to predict the effectiveness of K-12 science and mathematics videos. Our method integrates diverse features such as image, spoken text, and audio, among other hand-crafted elements, to accurately assess video effectiveness. We conduct an evaluation of our approach using a comprehensive dataset comprised of 3,134 short-form academic videos. The results demonstrate robust performance, with the system achieving an accuracy of 76.1% and an F1 score of 80.6%. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025."
